maz_id,SchoolName,Public_Elem,Public_Midl,Public_High,PriCha_Elem,PriCha_Midl,PriCha_High,Enrol_Elem,Enrol_Midl,Enrol_High
30704,Elevated Charter School,0,0,0,234,0,0,234,0,0
30746,Fabian House,0,0,0,0,0,0,0,0,0
30751,Skyridge High School,0,114,2500,0,0,0,0,114,2500
30781,Highland School,584,0,0,0,0,0,584,0,0
30821,Mountain Point Academy,0,0,0,0,0,0,0,0,0
30822,Renaissance Academy,0,0,0,645,97,0,645,97,0
30867,Viewpoint Middle,0,1678,0,0,0,0,0,1678,0
30940,Ignite Entrepreneurship Academy,0,0,0,445,44,0,445,44,0
30946,Ridgeline School,702,0,0,0,0,0,702,0,0
30978,"Sunshine Academy, LLC",0,0,0,0,0,0,0,0,0
30993,Mountainville Academy,0,0,0,661,0,0,661,0,0
30997,Traverse Mountain School,836,0,0,0,0,0,836,0,0
31021,Westfield SchoolTimberline Middle,547,1329,0,0,0,0,547,1329,0
31039,Alpine School,535,0,0,0,0,0,535,0,0
31066,Belmont School,901,0,0,0,0,0,901,0,0
31147,Mt. Nebo Middle,0,1035,0,0,0,0,0,1035,0
31176,Rees School,723,0,0,0,0,0,723,0,0
31203,Sunset View School,591,0,0,0,0,0,591,0,0
31206,Independence HighProvo Adult Education,0,0,276,0,0,0,0,0,276
31215,Timpview HighSlope School,0,0,2301,0,0,0,0,0,2301
31223,Walden School of Liberal Arts,0,0,0,204,103,79,204,103,79
31257,Trailside Elementary,1044,0,0,0,0,0,1044,0,0
31297,Silver Lake Elementary,782,0,0,0,0,0,782,0,0
31298,Brookhaven School,1074,0,0,0,0,0,1074,0,0
31334,Mountain Sunrise Academy,0,0,0,461,32,0,461,32,0
31370,Desert Sky,1087,0,0,0,0,0,1087,0,0
31406,Canyon Grove Academy,0,0,0,849,220,0,849,220,0
31436,Fox Hollow School,711,0,0,0,0,0,711,0,0
31468,Ascent Academies of Utah Saratoga Springs,0,0,0,637,0,0,637,0,0
31553,Nebo Online School,0,0,0,0,0,0,0,0,0
31619,Nebo Advanced Learning Center,0,0,3,0,0,0,0,0,3
31711,Wonderland Preschool and Child Care,0,0,0,0,0,0,0,0,0
31793,Square Peg Academy,0,0,0,0,0,0,0,0,0
31815,KoolMinds Orem,0,0,0,0,0,0,0,0,0
31836,Oasis Provo,0,0,0,0,0,0,0,0,0
31856,Early Learning Essentials,0,0,0,0,0,0,0,0,0
31874,Timpanogos School,633,0,0,0,0,0,633,0,0
31926,Provo High,0,0,2026,0,0,0,0,0,2026
31927,Provo eSchool,0,0,0,0,0,0,0,0,0
31931,BYU Independent Study,0,0,0,0,0,0,0,0,0
31964,Alta Independent,0,0,0,0,0,0,0,0,0
32072,Utah County Academy of Science,0,0,0,0,0,509,0,0,509
32084,Noah Webster Academy,0,0,0,520,0,0,520,0,0
32140,Heritage Schools Inc.,0,0,0,0,0,0,0,0,0
32152,Eagle Valley School,776,0,0,0,0,0,776,0,0
32156,Just 4 Kids Adventures Orem,0,0,0,0,0,0,0,0,0
32163,Cedar Valley High,0,0,3325,0,0,0,0,0,3325
32309,Dancing Moose Montessori Museum Campus,0,0,0,0,0,0,0,0,0
32370,Summit HighPolaris High SchoolEast Shore Online,0,19,216,0,0,0,0,19,216
